"symbol","trade_id","price","quantity","buyer_order_id","seller_order_id","is_buyer_market_maker","timestamp"
"XRPUSDT",1.273371608E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.092000Z"
"XRPUSDT",1.273371609E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.092000Z"
"XRPUSDT",1.27337161E9,3.1359,113.2,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371611E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371612E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371613E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371614E9,3.1359,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371615E9,3.1359,1.7,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371616E9,3.1359,1.6,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371617E9,3.1358,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371618E9,3.1358,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371619E9,3.1358,1.6,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.27337162E9,3.1358,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371621E9,3.1358,1.7,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371622E9,3.1358,2.0,,,true,"2025-07-30T16:51:46.224000Z"
"XRPUSDT",1.273371623E9,3.1358,34.6,,,false,"2025-07-30T16:51:46.265000Z"
"XRPUSDT",1.273371624E9,3.1358,51.4,,,false,"2025-07-30T16:51:47.091000Z"
"XRPUSDT",1.273371625E9,3.1358,1.6,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371626E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371627E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371628E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371629E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.27337163E9,3.1358,115.2,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371631E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371632E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371633E9,3.1358,1.7,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371634E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371635E9,3.1358,2.0,,,false,"2025-07-30T16:51:47.145000Z"
"XRPUSDT",1.273371636E9,3.1359,1.6,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371637E9,3.1359,2.0,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371638E9,3.1359,2.0,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371639E9,3.1359,1.7,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.27337164E9,3.1359,2.0,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371641E9,3.1359,2.0,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371642E9,3.1359,2.0,,,false,"2025-07-30T16:51:47.218000Z"
"XRPUSDT",1.273371643E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371644E9,3.136,1.6,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371645E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371646E9,3.136,1.6,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371647E9,3.136,1.7,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371648E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371649E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.27337165E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371651E9,3.136,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371652E9,3.1361,1.6,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371653E9,3.1361,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371654E9,3.1361,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371655E9,3.1361,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371656E9,3.1361,1.7,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371657E9,3.1361,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371658E9,3.1361,1.7,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.273371659E9,3.1361,2.0,,,false,"2025-07-30T16:51:47.818000Z"
"XRPUSDT",1.27337166E9,3.1362,3.3,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371661E9,3.1362,1.6,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371662E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371663E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371664E9,3.1362,1.7,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371665E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371666E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371667E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371668E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371669E9,3.1362,5.5,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.27337167E9,3.1362,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371671E9,3.1363,1.6,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371672E9,3.1363,1.7,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371673E9,3.1363,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371674E9,3.1363,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371675E9,3.1363,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371676E9,3.1363,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371677E9,3.1363,1.7,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371678E9,3.1363,2.0,,,false,"2025-07-30T16:51:48.418000Z"
"XRPUSDT",1.273371679E9,3.1363,477.2,,,true,"2025-07-30T16:51:48.754000Z"
"XRPUSDT",1.27337168E9,3.1364,3.3,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371681E9,3.1364,1.6,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371682E9,3.1364,2.8,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371683E9,3.1364,2.0,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371684E9,3.1364,1.7,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371685E9,3.1364,78.5,,,false,"2025-07-30T16:51:49.068000Z"
"XRPUSDT",1.273371686E9,3.1364,12.8,,,false,"2025-07-30T16:51:49.769000Z"
"XRPUSDT",1.273371687E9,3.1363,1.6,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371688E9,3.1363,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371689E9,3.1363,115.2,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.27337169E9,3.1363,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371691E9,3.1363,1.7,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371692E9,3.1363,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371693E9,3.1363,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371694E9,3.1363,14.2,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371695E9,3.1363,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371696E9,3.1362,1.6,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371697E9,3.1362,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371698E9,3.1362,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371699E9,3.1362,1.7,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.2733717E9,3.1362,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371701E9,3.1362,2.0,,,true,"2025-07-30T16:51:49.818000Z"
"XRPUSDT",1.273371702E9,3.1362,14.6,,,false,"2025-07-30T16:51:50.468000Z"
"XRPUSDT",1.273371703E9,3.1361,1.6,,,true,"2025-07-30T16:51:52.018000Z"
