trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601282376.0,1601282379.0,2026-04-01 18:18:43.288000,2026-04-01 18:18:43.304000,2,4,0000 0010 1000 0000,640
1601282382.0,1601282388.0,2026-04-01 18:18:43.304000,2026-04-01 18:18:46.985000,5,7,0000 0010 1000 0001 0110 1000 0000,2627200
1601282394.0,1601282402.0,2026-04-01 18:18:47.147000,2026-04-01 18:18:52.103000,7,9,0000 0001 0110 1001 0110 1001 0110 1000 0000,378967680
1601282409.0,1601282412.0,2026-04-01 18:18:52.103000,2026-04-01 18:18:52.103000,2,4,0000 0010 1000 0000,640
1601282428.0,1601282431.0,2026-04-01 18:18:55.625000,2026-04-01 18:18:55.628000,2,4,0000 0010 1000 0000,640
1601282435.0,1601282438.0,2026-04-01 18:18:55.628000,2026-04-01 18:19:00.529000,2,4,0000 0001 0100 0000,320
1601282456.0,1601282459.0,2026-04-01 18:19:00.883000,2026-04-01 18:19:01.365000,2,4,0000 0001 0100 0000,320
1601282481.0,1601282484.0,2026-04-01 18:19:02.209000,2026-04-01 18:19:02.807000,2,4,0000 0001 0100 0000,320
1601282485.0,1601282488.0,2026-04-01 18:19:03.491000,2026-04-01 18:19:05.362000,2,4,0000 0010 1000 0000,640
1601282495.0,1601282498.0,2026-04-01 18:19:05.703000,2026-04-01 18:19:07.567000,2,4,0000 0010 1000 0000,640
1601282506.0,1601282509.0,2026-04-01 18:19:07.567000,2026-04-01 18:19:07.569000,2,4,0000 0010 1000 0000,640
1601282517.0,1601282520.0,2026-04-01 18:19:07.618000,2026-04-01 18:19:07.622000,2,4,0000 0010 1000 0000,640
1601282530.0,1601282533.0,2026-04-01 18:19:07.918000,2026-04-01 18:19:07.918000,2,4,0000 0010 1000 0000,640
1601282540.0,1601282543.0,2026-04-01 18:19:07.918000,2026-04-01 18:19:09.172000,2,4,0000 0010 1000 0000,640
1601282550.0,1601282555.0,2026-04-01 18:19:09.737000,2026-04-01 18:19:12.468000,4,6,0000 0001 0100 0010 1000 0000,82560
1601282562.0,1601282565.0,2026-04-01 18:19:12.468000,2026-04-01 18:19:12.468000,2,4,0000 0010 1000 0000,640
1601282570.0,1601282573.0,2026-04-01 18:19:12.468000,2026-04-01 18:19:12.468000,2,4,0000 0010 1000 0000,640
1601282580.0,1601282584.0,2026-04-01 18:19:12.468000,2026-04-01 18:19:12.504000,3,5,0000 0010 1001 0100 0000,10560
